Track Name,Album Name,Artist Name(s),Record Label
Do Me Like That,Turn It Up,Penguin Prison,Act Normal Music
Dive,Dive,Coast Modern,300 Entertainment / +1 Records
Light up for You,Light up for You,LOYAL,IAMSOUND
Freakin' Out on the Interstate,Freakin' Out on the Interstate,Briston Maroney,Dog Days Productions
Big Fat Mouth,Big Fat Mouth,Arlie,Intermission Records
"Something, in General","Something, in General",Ritt Momney,Independent
Good Nights (feat. Mascolo),Good Nights (feat. Mascolo),Whethan;Mascolo,Big Beat Records
Closer,Heartthrob,Tegan and Sara,Vapor/Warner Records
Multi-Love,Multi-Love,Unknown Mortal Orchestra,Jagjaguwar
Locket,Locket,Crumb,Crumb
Fuck Love,Portal,Lalić,Lalić
Gold Angel,Gold Angel,Minke,This Fiction
Compromised,Compromised,Tim Atlas,Tim Atlas
Electric Feel,Electric Feel,Coast Modern,300 Entertainment
No Going Back,No Going Back,Yuno,Sub Pop Records
egyptian pools,egyptian pools,JUICEB☮X;Jinsang,JUICEB☮X & Jinsang
Excuses,Big Echo,The Morning Benders,Rough Trade
The Longest Drive,The Longest Drive,VHS Collection,VHS Records
Run It Up,Coast Modern,Coast Modern,300 Entertainment / +1 Records
Talk Too Much,How Will You Know If You Never Try,COIN,StarTime International/Columbia
Tell Me Tell Me,Tell Me Tell Me,courtship.,courtship.
I Don't Wanna Dance,How Will You Know If You Never Try,COIN,StarTime International/Columbia
"Nameless, Faceless","Nameless, Faceless",Courtney Barnett,Mom+Pop
Buttercup,Landmark,Hippo Campus,Grand Jury (RED)
Everybody Wants to Love You,Everybody Wants to Love You,Japanese Breakfast,Yellow K Records
Reflections On The Screen,Reflections On The Screen,Superorganism,Domino Recording Co
One Time,Sway,Marian Hill,Photo Finish / Republic Records
Killing Me Softly With His Song,The Score (Expanded Edition),Fugees;Ms. Lauryn Hill,Columbia
Hope (feat. BRAVE),Tim Legend - Hope (feat. BRAVE),Tim Legend;Brave,Repost Network
Kiwi,Harry Styles,Harry Styles,Columbia
For All The Bears,For All The Bears,Wasuremono,The Wilderness Records
"No Pain (Feat. Khalid, Charlie Wilson & Charlotte Day Wilson)",No Pain,DJDS;Khalid;Charlie Wilson;Charlotte Day Wilson,Loma Vista
Heaven Only Knows,Heaven Only Knows,Bob Moses,Domino Recording Co
Killing My Time,Killing My Time,G Flip,G Flip
Growing Pains,Growing Pains,COIN,Columbia
&Run,"Don't You Worry, Honey",Sir Sly,Cherrytree Records/Kierszenbaum
Smile,"Alright, Still (Bonus Track Version)",Lily Allen,Parlophone UK
I Follow Rivers,Wounded Rhymes,Lykke Li,Atlantic Records UK
Hair Too Long,Hair Too Long,The Vamps,EMI
Overflow,Overflow,Ghost Loft,Kintsugi
Kiss With A Fist,Lungs (Deluxe Edition),Florence + The Machine,Universal-Island Records Ltd.
Brown Eyed Girl,Blowin' Your Mind!,Van Morrison,Columbia/Legacy
In My Head,I Remember,AlunaGeorge,Universal-Island Records Ltd.
Twisted,Isles,Wild Belle,Columbia
BITE,Blue Neighbourhood (Deluxe),Troye Sivan,EMI Recorded Music Australia Pty Ltd
I'm a Believer - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees,Rhino
RIP,RIP,Olivia O'Brien,Universal Music Group
Marceline,ARDIPITHECUS,WILLOW,Roc Nation W Smith P&D
Out of My League,More Than Just a Dream (Deluxe Edition),Fitz and The Tantrums,Elektra (NEK)
Bad Liar,Bad Liar,Selena Gomez,Selena Gomez PS
Lust For Life (with The Weeknd),Lust For Life,Lana Del Rey;The Weeknd,Polydor Records
Violent Crimes,ye,Kanye West,"Getting Out Our Dreams, Inc./Def Jam Recordings"
Wasted,A Town Called Paradise (Deluxe),Tiësto;Matthew Koma,"Universal Music, a division of Universal International Music BV"
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),Flower Boy,"Tyler, The Creator;Frank Ocean;Steve Lacy",Columbia
Boredom (feat. Rex Orange County & Anna of the North),Flower Boy,"Tyler, The Creator;Rex Orange County;Anna of the North",Columbia
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator;Kali Uchis",Columbia
Hard Times,After Laughter,Paramore,Fueled By Ramen
Make Me Your Queen,What Do You Think About the Car?,Declan McKenna,Columbia
lovers’ carvings,Ambivalence Avenue,Bibio,Warp Records
Keep You,Isles,Wild Belle,Columbia
Paper Planes,Kala,M.I.A.,Interscope
Heads Will Roll,It's Blitz! (Deluxe Edition),Yeah Yeah Yeahs,Interscope
Egyptian Luvr (feat. Aminé and Dana Williams),Dear Annie,Rejjie Snow;Aminé;Dana Williams,300 Entertainment/Honeymoon
Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),Social House;Lil Yachty,Silent Records / Social House
Down,ACT ONE,Marian Hill,Photo Finish / Republic Records
Dog Days Are Over,Lungs (Deluxe Edition),Florence + The Machine,Universal-Island Records Ltd.
Breathe,Be Here Now,ANIMA!,ANIMA!
Plum,Bloom,Troye Sivan,EMI Recorded Music Australia Pty Ltd
These Days,These Days,Wallows,Atlantic Records
Homemade Dynamite - REMIX,Melodrama,Lorde;Khalid;Post Malone;SZA,Universal Music New Zealand Limited
Morning View,WWW.,Towkio;SZA,Towkio/Republic Records
Leave It In My Dreams,Virtue,The Voidz,RCA Records Label
"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",Cherry Bomb,"Tyler, The Creator;Charlie Wilson;Chaz Bundick;Syd;Kali Uchis",Odd Future
Just A Stranger (feat. Steve Lacy),Isolation,Kali Uchis;Steve Lacy,EMI
Lottery,Por Vida,Kali Uchis,Kali Uchis LLC
Sunday Candy,Surf,Nico Segal,Donnie Trumpet & The Social Experiment
BLEACH,SATURATION III,BROCKHAMPTON,"QUESTION EVERYTHING, INC. / EMPIRE"
Good Guy,Blonde,Frank Ocean,Boys Don't Cry
Ophelia,Cleopatra,The Lumineers,Dualtone Music Group
Something For Your M.I.N.D.,Superorganism,Superorganism,Domino Recording Co
Electrified,Episode I,Just Loud,Five Seven Music
Baby Blue,Pink,Rence,Rence
Sugar High,School Nights,Chappell Roan,Atlantic Records
4EVER,4EVER,Clairo,FADER Label
Ride or Die (feat. Foster the People),New York Narcotic,The Knocks;Foster The People,Big Beat/Neon Gold
All The Way,After Hours (Deluxe),Timeflies,Island Records
Miss Glum & the Pursuit of Falling,Yellow and Such,Gus Dapperton,Gus Dapperton
Doses & Mimosas,Year of the Caprese,Cherub,Columbia
Mercy (feat. What So Not & Two Feet),Forever Neverland,MØ;What So Not;Two Feet,Chess Club/RCA Victor
In Your Arms,Wonderer,Sunbeam Sound Machine,Dot Dash
Hiding,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,Universal-Island Records Ltd.
What's Left,Songs for Dads,The Walters,The Walters
Fake ID,Fake ID,Riton;Kah-Lo,Last Gang
Pumpin Blood,We Are Only What We Feel,NONONO,WM Sweden
Wait a Minute!,ARDIPITHECUS,WILLOW,Roc Nation W Smith P&D
Cooks,Cooks,Still Woozy,672794 Records DK
Ribs,Pure Heroine,Lorde,Universal Music New Zealand Limited
Why Do You Feel So Down,What Do You Think About the Car?,Declan McKenna,Columbia
Ivory Black,Hallucinate,Oliver Riot,596589 Records DK
The Louvre,Melodrama,Lorde,Universal Music New Zealand Limited
Doo Wop (That Thing),The Miseducation of Lauryn Hill,Ms. Lauryn Hill,Ruffhouse/Columbia
Perfect,Made In The A.M. (Deluxe Edition),One Direction,Syco Music
End of the Day,Made In The A.M. (Deluxe Edition),One Direction,Syco Music
Ever Since New York,Harry Styles,Harry Styles,Columbia
3005,Because The Internet,Childish Gambino,Glassnote Entertainment Group LLC
I Follow Rivers - The Magician Remix,I Follow Rivers (The Magician Remix),Lykke Li;The Magician,Atlantic Records
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit;Zara Larsson,Atlantic Records UK
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky;Skepta,A$AP Worldwide/Polo Grounds Music/RCA Records
