artist,title,year_released,rating,review,genre,query,album_id
100 gecs,1000 gecs,2019,7.4,"crunchy long scattered better content close well sonic sheer experimental pervasive both small two such financial fresh addicted last fascinating pure indefinable tough connecting loving musical only much even melodic exhilarating hilarious latter stuffed various used same abrasive outrageous which unique wild visible baby key right recognizable recent one next decent mad official identifiable pumped game human its animal digital sweet single big touching opening cross accessible minute most kind all easy sick new charming lyrical left steady thematic strange The duo’s wild-eyed genre mishmash covers chiptuned pop-punk, chintzy trance synths, and the closely mic’d intimacy of indie pop—sometimes all in the same song.",Experimental / Electronic,experimental remix metal crunchy noise steady punk pop trance,43
88rising,Head in the Clouds,2018,6.8,"young day major listless viral its head long playful later final low his mischievous same old contemporary fun breezy past adopted droll only written special stiff other bright evocative singular most top kind baby distinctive right proof trying down massive woozy one understated thumping hulking rich half cut For this 88rising showcase, Joji, Rich Brian, AUGUST 08, and the rest of the label all act like promising pop stars but are often overshadowed by the outside talent they bring along.",,pop soca dancehall,123
A Band of Bees,Free The Bees,2004,4.9,"famous offensive chicken still work whole major unadorned time ridiculous original pretty more its latest following free better affected master heroic his old single busy opening chief only terse oblivious fancy even best written high known drenched all middle new down great memorable one awkward these four acid true least battered last white half Garage-y British psych-rockers' second album finds them further mining the 1960s for inspiration, but offering no new ideas-- or decent songs-- of their own.",Rock,fake rock reading emo reggae,134
A$AP Rocky,At.Long.Last.A$AP,2015,7.8,"game still just work major understood hard early good likely passing more private long its better his primary influential unfathomable collaborative plus which completed much infinite best glaring personal most short baby all two new real sure careful recent one open revealing these persistent last level lasting During the gap between A$AP Rocky’s sophomore album, At.Long.Last.A$AP, and his major label debut, his mentor A$AP Yams’ died. With A.L.L.A.—executive produced by Yams, along with Danger Mouse and featuring Kanye, Lil Wayne, Future, and M.I.A. among others—a real sense of identity has begun to coalesce in Rocky’s work.",Rap,world rap soul guidance healing,193
A$AP Rocky,Testing,2018,6.7,"slick just day still young whole clean live longer muted trusting more basic orange vague its empty long chunky his harsh garbled literal juicy which raw sonic dynamic high beginning third dismal blunt choice black all life house industrial nonsensical stacked first new real direct down blissful these late glass enamored fitted shaky ugly On his third studio album, Rocky is more experimental and personal. But for music that relies on the New York rapper’s artful intuitions, it’s unfortunate his intuitions are often very basic.",Rap,rap distorted industrial house raw,196
A.A. Bondy,When the Devil's Loose,2009,6.6,flattering ill still hard time home good more fat agrarian second its used free obvious loose burning his same old classic former only sonic much best even overall evocative warm most life all similar right mean new tasteful down full fair one forward weary elusive otherwise each The second solo album from the one-time Verbena frontman continues his obsession with rough-hewn imagery and earthy song structures.,Rock,world warm blues country rock drama,211
Ab-Soul,These Days...,2014,7.7,"game just still major time subliminal its second her living poignant celebrated outside his crossed grey close several opening plus which only dead giving obligatory even best bright other known most resonant status black signed proud middle every life terrible formidable commercial first strongest lyrical cinematic impressive full five one these cerebral last level repeated terminal tough moody Ab-Soul's latest, long-delayed album calls back to the glory days of the Black Hippy collective's impressive 2012 run, with the sprawling runtime, resonant repeated catchphrases, and grey-toned mood to prove it. The more human Ab-Soul dares to be on record, the stronger he becomes.",Rap,outsider rap soul cinematic dub,273
Akufen,My Way,2002,6.8,prize favorite just still emotional whole hard time very precise good crisp pretty stunning far long its enough thick his primary reliable old inside fun musical opening past complex close another raw energizing much sonic even cluttered other most focused bored certain life every all house distinctive key similar annoying vocal new technical wordless memorable little down danceable great interesting fair one brief equivalent latter these traditional fine vaporous next period tiny quick acoustic tired half Some things never get old. I could eat a cream cheese bagel every morning for the rest of my life ...,Electronic,bassline drone microhouse crisp house raw pop glitchy,490
Albert Hammond Jr.,Francis Trouble,2018,7.2,"nervous hard time far crisp more better involved burning happy gasping close brisk well momentary delicate potential varied lucky both unpretentious lost two background affable vocal medium little serious skittish last discouraged waste inspired half still work stylish vague away former another even creative choice focused life every waiting melodic subdued bloated oblique good second his drunk which giving other cute impassioned important ominous tight recent one hot greatest fitted extended double clean muted its ponderous enough classic chance somber entire most all easy new cool down ready full howling these energetic thin sticky otherwise The guitarist continues his 2010s hot streak with some of the brightest, scrappiest music he’s ever made as a solo artist.",Rock,world energetic rock crisp reading pop,522
Albert Hammond Jr.,Yours to Keep,2006,6.9,famous ragged young still legendary clean hard live early good east more lead its unexceptional spry better wasted his foggy single elite scruffy instrumental international spectacular which slight only another dead much stylistic best other third bright blue less most top life balmy first teenage new trying cool left down average holiday whistling rare supercilious least equivalent last jealous lower concise sticky main irrelevant Solo debut from the Strokes guitarist finds him trying his hand at a more cosmopolitan rock sound.,Rock,folk world foggy rock pop skiffle,525
